id,study,input,backend,sink,workers,codec,chunk,block_bytes,compression_fold,observations,throughput_median,throughput_min,throughput_max,speedup_median,speedup_min,speedup_max
reef-turin-microscopy-workers-3708278:c736b3422a53ef28,reef-turin-microscopy-workers-3708278,bbbc010-brightfield,cpu,discard,32,zstd,64K,,11.789215408662558,3,10.750918695966545,9.185500939223171,10.777767651310903,,,
reef-turin-microscopy-workers-3708278:64fe287282e69bf6,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,fs,32,blosc-lz4,256K,262144,4.451483162910428,3,13.195516986788586,8.739023548532144,13.435845231121403,,,
reef-turin-microscopy-workers-3708278:98151f9df0263710,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,discard,32,blosc-lz4,16K,4096,4.231906783832388,3,19.261358929522075,17.622027148389385,20.58275073830568,,,
reef-turin-microscopy-workers-3708278:a7b1c85509a983e7,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,discard,32,blosc-lz4,256K,262144,4.452072811830106,3,24.853821259569585,24.43336111797846,25.43046219783745,,,
reef-turin-microscopy-workers-3708278:d7ca908af786460e,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,fs,32,blosc-zstd,128K,131072,4.54919586805902,3,8.952937583601654,8.344716659587103,9.425915355895688,,,
reef-turin-microscopy-workers-3708278:dbfc61435e2d1041,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,discard,32,blosc-zstd,128K,131072,4.5489768076398365,3,11.326471563534223,10.551810110568113,11.891557780420202,,,
reef-turin-microscopy-workers-3708278:fc4a14db4bd2f386,reef-turin-microscopy-workers-3708278,dynacell-a549-phase,cpu,fs,32,blosc-lz4,16K,4096,4.2292449834367085,3,12.071862784757823,11.009437671322095,12.951491978823652,,,
reef-l40-microscopy-workers-3708541:076cf537b3452b62,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,discard,4,zstd,64K,,1.2481116017759157,3,2.439091381889523,2.4381215422339007,2.4395475312349264,,,
reef-l40-microscopy-workers-3708541:70954ef79ac93ca7,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,fs,4,zstd,256K,,1.2454077063592548,3,4.1400477795980475,3.694249865360782,4.337993044092758,,,
reef-l40-microscopy-workers-3708541:9086fec162a4d8a6,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,discard,4,zstd,256K,,1.2454077063592548,3,4.3961625611510735,4.394502928517512,4.4001892049130165,,,
reef-l40-microscopy-workers-3708541:9cafe50fe8cd7b5c,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,discard,4,blosc-lz4,16K,4096,1.0085512506542336,3,14.710705173271064,13.861952612395044,15.138467603552725,,,
reef-l40-microscopy-workers-3708541:c46fa58b187c56dd,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,fs,4,blosc-lz4,16K,4096,1.008492458735114,3,4.535361438604247,4.37251016417129,5.031134829669109,,,
reef-l40-microscopy-workers-3708541:eb7c156c3884aaad,reef-l40-microscopy-workers-3708541,cosem-cos7-em,gpu,fs,4,zstd,64K,,1.2481116017759157,3,2.420697376260426,2.416218928547596,2.4326113646483543,,,
reef-l40-microscopy-workers-3708541:3f0a7da15198ae9e,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,fs,4,blosc-lz4,16K,4096,1.4548417191421608,3,4.275286293386866,4.153742037119074,4.641464577358786,,,
reef-l40-microscopy-workers-3708541:8d7df10f41c8b88f,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,fs,4,blosc-zstd,256K,65536,1.8858318971576573,3,4.235453143441665,4.186838473068876,4.283542995347896,,,
reef-l40-microscopy-workers-3708541:ae3faef03e0fb4c2,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,discard,4,blosc-lz4,16K,4096,1.4546066499779522,3,17.518645249550598,17.373415593132336,17.867653118017618,,,
reef-l40-microscopy-workers-3708541:bad580e29ca11e0e,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,discard,4,blosc-zstd,64K,65536,1.9069552263828191,3,4.2611276551362645,4.25630884976131,4.262673042794615,,,
reef-l40-microscopy-workers-3708541:c8f51db61ea56aac,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,discard,4,blosc-zstd,256K,65536,1.8858318971576573,3,4.314144850834549,4.314028703521267,4.314979648387912,,,
reef-l40-microscopy-workers-3708541:d7b409a8ad5dcae7,reef-l40-microscopy-workers-3708541,bbbc022-mito,gpu,fs,4,blosc-zstd,64K,65536,1.9069568158476478,3,4.122121607400824,3.8355464160423938,4.183917029251836,,,
reef-l40-microscopy-workers-3708541:407c28269e7ce744,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,fs,4,blosc-lz4,16K,16384,1.2785536626233671,3,5.251965426354258,4.869236915659835,5.511624377793017,,,
reef-l40-microscopy-workers-3708541:89188ac122ea5110,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,fs,4,blosc-zstd,64K,65536,1.4974013416126983,3,3.0925071139518825,3.0892054999535006,3.235743069240664,,,
reef-l40-microscopy-workers-3708541:926a8281737ffdeb,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,discard,4,blosc-zstd,64K,65536,1.4974013416126983,3,3.2601033714056706,3.2595190251606456,3.2613447482089435,,,
reef-l40-microscopy-workers-3708541:98f7196c339a7770,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,discard,4,blosc-zstd,256K,65536,1.4932727746005718,3,3.2882308550123467,3.287352437038179,3.2890658365404897,,,
reef-l40-microscopy-workers-3708541:e0fbb6934cf0ef82,reef-l40-microscopy-workers-3708541,opencell-dna,gpu,discard,4,blosc-lz4,16K,16384,1.277804076124912,3,5.899117379994135,5.892453736854037,5.920618741734126,,,
